Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	
Child Support (Title IV-D)	Title IV-D Court No. 37			Casey		Conine		Associate Judge	200 E Weatherford St	Fort Worth	76196	(817)884-2621	
Administrative Judicial Region	Second Administrative Judicial Region			Tracy		Conroy		Assistant	301 N Thompson, Ste 102	Conroe	77301	(936)538-8176	 tracy.conroy@mctx.org
Court of Appeals	13th Court of Appeals (Corpus Christi)			Dori		Contreras		Chief Justice	901 Leopard, 10th Fl	Corpus Christi	78401	(361)888-0416	
Child Support (Title IV-D)	Title IV-D Court No. 35		Honorable	Sean		Cook		Associate Judge	200 E Weatherford	Fort Worth	76196	(817)248-6070	
Child Protection	Centex Child Protection Court No. 1			Chris		Cornish		Associate Judge	104 S Main	Belton	76513	(254)933-5386	
Child Protection	Child Protection Court of Central Texas			Karen		Cortez		Court Coordinator	150 N Seguin, Ste 317	New Braunfels	78130	(830)221-1197	 karen.cortez@txcourts.gov
Child Protection	Child Protection Court of Rio Grande Valley East			Marie	Christine	Cortez		Associate Judge	974 E Harrison St, Ste 101	Brownsville	78520	(956)574-8730	
Court of Appeals	1st Court of Appeals			Julie		Countiss		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
				Data Entry		Court							
				Data Entry		Court							
				William		Cox		OCA User					
Child Protection	Northeast Texas Child Protection Court No. 3			Brittany		Creech		Court Coordinator	125 N Prairieville St, Ste 104	Athens	75751	(903)676-4087	
Child Protection	Centex Child Protection Court North			Marcus		Crosby		Court Coordinator	501 Washington Ave	Waco	76701	(254)757-5000 - ext. 2271      	
Court of Appeals	4th Court of Appeals			Michael	A.	Cruz		Clerk	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Supreme Court	Supreme Court			Lee		Czocher		Staff Attorney	P O Box 12248	Austin	78711-2248	(512)462-1336	
Child Protection	South Plains Foster Care Court No. 2			Kara		Darnell		Associate Judge	402 S. Stephens St	Lubbock	75783	(806)775-1708	 libby.caranfa@txcourts.gov
				Court		Data Entry							
				Court		Data Entry							
				Court		Data Entry							
				Court		Data Entry							
				Court		Data Entry							
				Court		Data Entry							
				Court		Data Entry							
Supreme Court	Supreme Court			Jaclyn		Daumerie		Attorney	P O Box 12248	Austin	78711-2248	(512)463-1353	
Child Support (Title IV-D)	Title IV-D Court No. 1			Cindy	M.	Davis		Court Coordinator	600 Commerce, Rm 370-A	Dallas	75202-4616	(214)653-7685	
Child Protection	Child Protection Court of South Central Texas			Melissa		DeGerolami		Associate Judge	One Courthouse Circle, Ste 205	Jourdanton	78026	(830)769-2427	 virginia.rocamontes-luce@txcourts.gov
Supreme Court	Supreme Court			John	P.	Devine		Justice	P O Box 12248	Austin	78711-2248	(512)463-1316	
Child Support (Title IV-D)	Title IV-D Court No. 21			Rosario		Diaz-DeLeon		Court Coordinator	1110 Victoria St, Ste 101	Laredo	78040	(956)523-4078	
Court of Appeals	7th Court of Appeals			Lawrence	M.	Doss		Justice	P O Box 9540	Amarillo	79105-9540	(806)342-2650	
Child Protection	Northeast Texas Child Protection Court No. 3			Keith		Downs		Associate Judge	125 N Prairieville St, Ste 104	Athens	75751	(903)676-4087	
Child Support (Title IV-D)	Title IV-D Court No. 5			Shelly		Dukes		Associate Judge	2100 Bloomdale Rd, Ste 10138	McKinney	75071	(214)491-4811	
Court of Appeals	10th Court of Appeals			Jill	A.	Durbin		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Child Support (Title IV-D)	Title IV-D Court No. 7		Honorable	J. C.		Durst		Associate Judge	301 N Thompson, Ste 102	Conroe	77301	(936)538-8047	
				Nancy		Eleby							
Administrative Judicial Region	Ninth Administrative Judicial Region			Ana	E.	Estevez		Presiding Judge	500 S Fillmore St, Suite 4C	Amarillo	79101	(806)379-2365	
Court of Appeals	4th Court of Appeals			Luz		Estrada		Chief Deputy Clerk	300 Dolorosa, Ste 3200	San Antonio	78205-3037	(210)335-2635	
Administrative Judicial Region	Eighth Administrative Judicial Region			David	L.	Evans		Presiding Judge	Tom Vandergriff Civil Courts Bldg, 100 N Calhoun St, 2nd Fl	Fort Worth	76196-1148	(817)884-1558	 thkemp@tarrantcounty.com
Child Support (Title IV-D)	Title IV-D Court No. 2			Maya		Evans		Associate Judge	600 Commerce, Rm 380	Dallas	75202-4616	(214)653-6686	
Child Support (Title IV-D)	Title IV-D Court No. 32			Jackie		Faircloth		Court Coordinator	300 Oak, Ste 502	Abilene	79602	(325)738-8500	
Child Protection	Child Protection Court of South Texas			Robert	J.	Falkenberg		Associate Judge	201 E San Antonio St, Ste 224	Boerne	78006	(830)249-9343 - ext. 321       	 sharra.greenlee@txcourts.gov
Child Protection	Child Protection Court of West Texas			Jennifer		Figueroa		Court Coordinator	300 N Grant Ave, Ste B-5	Odessa	79761	(432)498-4170	
Court of Appeals	8th Court of Appeals			Elizabeth	G.	Flores		Clerk	500 E San Antonio Ave, Ste 1203	El Paso	79901-2408	(915)546-2240	
Child Support (Title IV-D)	Title IV-D Court No. 25			Ismael (Kino)		Flores	Jr.	Associate Judge	100 N Closner	Edinburg	78539	(956)318-2452	
Court of Criminal Appeals	Court of Criminal Appeals			Rachel		Fowler		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1560	
Child Support (Title IV-D)	Title IV-D Court No. 41		Honorable	Jeremy		Fowler		Associate Judge	500 S Fillmore, Ste 601	Amarillo	79101	(806)379-2820	
Court of Criminal Appeals	Court of Criminal Appeals			Alison		Fox-Dahlberg		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1555	
Court of Appeals	5th Court of Appeals			Dennise		Garcia		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Child Protection	South Plains Foster Care Court No. 1			Dawn		Garry		Court Coordinator	904 Broadway, Rm 122	Lubbock	79401	(806)775-1707	 dawn.garry@txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 20			Denise		Garza		Court Coordinator	100 Dolorosa, Rm 1.20	San Antonio	78205	(210)335-3285	
Court of Appeals	5th Court of Appeals			Myra		Gasc		Court Administrator	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Court of Criminal Appeals	Court of Criminal Appeals			Kelly		Gatewood		Attorney	P O Box 12308	Austin	78711-2308	(512)936-1626	
Court of Criminal Appeals	Court of Criminal Appeals			Mary		Gibson		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1575	
				Jamie		Gilgan							
Court of Appeals	13th Court of Appeals (Corpus Christi)			Cecile	Foy	Gisanger		Chief Staff Attorney	901 Leopard, 10th Fl	Corpus Christi	78401	(361)888-0416	
Court of Appeals	5th Court of Appeals			Bonnie	Lee	Goldstein		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Court of Appeals	9th Court of Appeals			W.	Scott	Golemon		Chief Justice	1085 Pearl, Ste 330	Beaumont	77701-3552	(409)835-8402	
Child Protection	Dallas County Child Protection & Permanency Court			Delia		Gonzales		Associate Judge	600 Commerce St, 4th Fl, Auxiliary Court 4A	Dallas	75202	(214)653-7430	
Child Support (Title IV-D)	Title IV-D Court No. 18			Roxane		Gonzales		Court Coordinator	P O Box 650	Red Rock	78662	(512)962-4882	
				Beatriz	Q.	Gonzalez		Member					
Administrative Judicial Region	Seventh Administrative Judicial Region			JoAnn		Gonzalez		Assistant	112 W. Beauregard Ave.	San Angelo	76903	(325)703-4929	
Child Support (Title IV-D)	Title IV-D Court No. 26			Monica		Gonzalez		Court Coordinator	100 N Closner Blvd	Edinburg	78539	(956)292-7002	
Child Support (Title IV-D)	Title IV-D Court No. 44			Phyllis		Gonzalez		Associate Judge	500 E San Antonio, Ste 604	El Paso	79901	(915)546-2036	
Court of Appeals	1st Court of Appeals			Gordon	Ernest	Goodman		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
Child Protection	Northern Panhandle Child Protection Court			Jack		Graham		Associate Judge	4320 S Western St, Ste 106	Amarillo	79109	(806)468-5696	 haley.morrow@txcourts.gov
Court of Appeals	10th Court of Appeals			Thomas	W.	Gray		Chief Justice	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Child Protection	Child Protection Court of South Texas			Sharra		Greenlee		Court Coordinator	201 E San Antonio St, Ste 224	Boerne	78006	(830)249-9343 - ext. 321       	 sharra.greenlee@txcourts.gov
Court of Appeals	1st Court of Appeals			Anne	Marie	Greenwood		Chief Staff Attorney	301 Fannin St	Houston	77002-2066	(713)274-2770	
Child Protection	Gulf Coast Children's Court			Charles		Griffin		Associate Judge	1115 Congress St, 5th Fl	Houston	77002	(832)927-6970	
Child Protection	Child Protection Court of the Permian Basin			Ellen		Griffith		Associate Judge	500 N Loraine, Ste 500	Midland	79701	(432)688-4395	
Child Protection	Harris County CPS Project Court			Katrina		Griffith		Associate Judge	1200 Congress	Houston	77002	(832)927-2899	
Court of Criminal Appeals	Court of Criminal Appeals			Ingrid		Grobey		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1585	
Court of Appeals	1st Court of Appeals			Amparo		Guerra		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
Court of Criminal Appeals	Court of Criminal Appeals			Carson		Guy		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1575	
Child Support (Title IV-D)	Title IV-D Court No. 13			Kelly		Hamilton		Court Coordinator	1149 Pearl St	Beaumont	77701	(936)538-8047	
Child Support (Title IV-D)	Title IV-D Court No. 7			Kelly		Hamilton		Court Coordinator	301 N Thompson, Ste 102	Conroe	77301	(936)538-8047	
Child Support (Title IV-D)	Title IV-D Court No. 8			Kelly		Hamilton		Court Coordinator	301 N Thompson, Ste 102	Conroe	77301	(936)538-8047	
Court of Appeals	11th Court of Appeals			Marla		Hanks		Clerk	P O Box 271	Eastland	76448-0271	(254)629-2638	 marla.hanks@txcourts.gov
Administrative Judicial Region	Fourth Administrative Judicial Region			Sid	L.	Harle		Presiding Judge	100 Dolorosa, Rm 4.08	San Antonio	78205	(210)335-3954	 lmbochniak@aol.com
Child Protection	North Texas Child Protection Court			Martha		Harrington		Court Coordinator	900 7th St, Rm 401	Wichita Falls	76301	(940)716-8624	 martha.harrington@txcourts.gov
			Honorable	Chris		Harris		Member					
				Debbie		Harris							
Court of Criminal Appeals	Court of Criminal Appeals			J.	Gary	Hart		Attorney	P O Box 12308	Austin	78711-2308	(512)463-1595	
Child Support (Title IV-D)	Title IV-D Court No. 22			Lisa		Harvey-Moore		Associate Judge	P O Box 711	Port Lavaca	77979	(361)655-6352	
Supreme Court	Supreme Court			Sara		Hash		Executive Assistant	P O Box 12248	Austin	78711-2248	(512)463-1320	
Court of Appeals	14th Court of Appeals			Meagan		Hassan		Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
Supreme Court	Supreme Court			Blake	A.	Hawthorne		Clerk	P O Box 12248	Austin	78711-2248	(512)463-1312	
				Karl		Hays	(Family)						
Supreme Court	Supreme Court			Nathan	L.	Hecht		Chief Justice	P O Box 12248	Austin	78711-2248	(512)463-1348	
Administrative Judicial Region	Sixth Administrative Judicial Region			Becky		Henderson		Assistant	700 Main St	Kerrville	78028	(830)792-2290	
Child Support (Title IV-D)	Title IV-D Court No. 3			Camille		Henson		Associate Judge	710 James Bowie Drive	New Boston	75570	(903)628-6785	
				Alfredo		Hernandez							
Child Support (Title IV-D)	Title IV-D Court No. 2			Christina		Herrera		Court Coordinator	600 Commerce, Rm 380	Dallas	75202-4616	(214)653-6686	
Court of Criminal Appeals	Court of Criminal Appeals			Barbara		Hervey		Judge	P O Box 12308	Austin	78711-2308	(512)463-1575	
Court of Appeals	1st Court of Appeals			Richard	F.	Hightower		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
Child Support (Title IV-D)	Title IV-D Court No. 26			Kriselda		Hinojosa		Associate Judge	100 N Closner Blvd	Edinburg	78539	(956)292-7002	
Court of Appeals	2nd Court of Appeals			Clarissa		Hodges		General Counsel	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
				Marc		Holder		Retired Probate					
Court of Appeals	9th Court of Appeals			Hollis		Horton	III	Justice	1085 Pearl, Ste 330	Beaumont	77701-3552	(409)835-8402	
Court of Appeals	12th Court of Appeals			Brian		Hoyle		Justice	1517 W Front, Ste 354	Tyler	75702-7854	(903)593-8471	
Supreme Court	Supreme Court			Nina	Hess	Hsu		General Counsel	P O Box 12248	Austin	78711-2248	(512)475-0938	
Child Support (Title IV-D)	Title IV-D Court No. 12			Lisa		Hubacek		Associate Judge	300 E 26th St, Ste 3510	Bryan	77803	(979)361-4494	
Supreme Court	Supreme Court			Rebeca	A.	Huddle		Justice	P O Box 12248	Austin	78711-2248	(512)463-1328	
Court of Appeals	12th Court of Appeals			Keri	L.	Hunt		Chief Staff Attorney	1517 W Front, Ste 354	Tyler	75702-7854	(903)593-8471	
Child Protection	Centex Child Protection Court South			Bertha		Jacobs		Court Coordinator	211 W Court St, Rm 315	Seguin	78155	(830)303-8872	
Child Protection	2nd Region Child Protection Court No. 2			Andrea		James		Associate Judge	300 E 26th St	Bryan	77803	(409)538-8176	
Child Support (Title IV-D)	Title IV-D Court No. 14			Jose		Jaramillo		Court Coordinator	1115 Congress, 2nd Fl	Houston	77002	(713)755-5353	
				Wallace	B.	Jefferson		Non Voting Member					
				Wallace	B.	Jefferson		Member					
Child Support (Title IV-D)	Title IV-D Court No. 38			Cherami		Jenkins		Associate Judge	200 E Weatherford St	Fort Worth	76196	(817)884-3298	
Supreme Court	Supreme Court			Claudia		Jenks		Chief Deputy Clerk	201 West 14th St, Rm 104	Austin	78701	(512)463-1312	
Child Support (Title IV-D)	Title IV-D Court No. 36			Tracey	L.	Jennings		Associate Judge	900 7th St, Rm 204	Wichita Falls	76301	(940)766-8110	
Court of Appeals	14th Court of Appeals			Kevin	Dean	Jewell		Justice	301 Fannin, Ste 245	Houston	77002	(713)274-2800	
Court of Appeals	10th Court of Appeals			Matt		Johnson		Justice	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Appeals	9th Court of Appeals			Leanne		Johnson		Justice	1085 Pearl, Ste 330	Beaumont	77701-3552	(409)835-8402	
Administrative Judicial Region	Ninth Administrative Judicial Region			Angela		Johnson		Assistant	500 S Fillmore St, Suite 4C	Amarillo	79101	(806)379-2365	
Child Support (Title IV-D)	Title IV-D Court No. 39		Honorable	Meg		Jordan		Associate Judge	904 Broadway, Ste 421	Lubbock	79408	(806)775-1704	
				Terry		Keel		Member					
Court of Criminal Appeals	Court of Criminal Appeals			Mary Lou		Keel		Judge	P O Box 12308	Austin	78711-2308	(512)463-1580	
Court of Criminal Appeals	Court of Criminal Appeals			Sharon		Keller		Presiding Judge	P O Box 12308	Austin	78711-2308	(512)463-1590	
Court of Appeals	1st Court of Appeals			Peter	Michael	Kelly		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
Court of Appeals	3rd Court of Appeals			Chari	L.	Kelly		Justice	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Administrative Judicial Region	Eighth Administrative Judicial Region			Tracy		Kemp		Assistant	Tom Vandergriff Civil Courts Bldg, 100 N Calhoun St, 2nd Fl	Fort Worth	76196-1148	(817)884-1558	 thkemp@tarrantcounty.com
Court of Appeals	5th Court of Appeals			Nancy		Kennedy		Justice	600 Commerce, Ste 200	Dallas	75202-4658	(214)712-3400	 theclerk@5th.txcourts.gov
Court of Appeals	10th Court of Appeals			Casey		Kent		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Appeals	2nd Court of Appeals			Elizabeth	S.	Kerr		Justice	401 W Belknap, Ste 9000	Fort Worth	76196-0211	(817)884-1900	 2ndclerk@txcourts.gov
Municipal				Sherry	L.	Kersh		Presiding Judge					
Child Support (Title IV-D)	Title IV-D Court No. 28		Honorable	Kelley	T.	Kimble		Associate Judge	100 Main St	Uvalde	78801	(830)278-8167	
Court of Appeals	10th Court of Appeals			Lisa		Kinsey		Staff Attorney	501 Washington Ave, Rm 415	Waco	76701-1373	(254)757-5200	
Court of Appeals	3rd Court of Appeals			Jeffrey	D.	Kyle		Clerk	P O Box 12547	Austin	78711-2547	(512)463-1733	 Clerk3rd@txcourts.gov
Court of Criminal Appeals	Court of Criminal Appeals			Olivia		Lambert		Executive Assistant	P O Box 12308	Austin	78711-2308	(512)463-1555	
Court of Appeals	1st Court of Appeals			Sarah Beth		Landau		Justice	301 Fannin St	Houston	77002-2066	(713)274-2770	
Court of Appeals	9th Court of Appeals			Carly		Latiolais		Clerk	1085 Pearl, Ste 330	Beaumont	77701-3552	(409)835-8402	
Child Support (Title IV-D)	Title IV-D Court No. 43			Maria		Laureano		Court Coordinator	1115 Congress Ave, 4th Fl	Houston	77002	(713)755-6856	
Child Protection	Child Protection Court--Rio Grande Valley West			Leticia		Lazo		Court Coordinator	P O Box 1356	Edinburg	78540	(956)318-2671	 leticia.lazo@txcourts.gov
Child Protection	South Plains Foster Care Court No. 2			Jamie		Leal		Court Coordinator	402 S. Stephens St	Lubbock	75783	(806)775-1708	 libby.caranfa@txcourts.gov
Child Support (Title IV-D)	Title IV-D Court No. 32		Honorable	Ken		Leggett		Associate Judge	300 Oak, Ste 502	Abilene	79602	(325)738-8500	
Supreme Court	Supreme Court			Debra	H.	Lehrmann		Justice	P O Box 12248	Austin	78711-2248	(512)463-1320	
Child Protection	2nd Region Child Protection Court No. 2			LeAnn		Lennie-Bachmeyer		Court Coordinator	300 E 26th St	Bryan	77803	(409)538-8176	
Child Support (Title IV-D)	Title IV-D Court No. 31			Karen		Lewis		Associate Judge	500 N Loraine, Ste 501	Midland	79701	(432)686-0292	
				Norma		Limon							
				Norma		Limon							
				Pedro (Pete)		Lobato							
Child Protection	2nd Region Child Protection Court No. 1			John		Lockwood		Associate Judge	1923 Sam Houston St	Liberty	77575	(409)538-8176	
Child Protection	North Texas Child Protection Court			Stephanie		Logue		Associate Judge	900 7th St, Rm 401	Wichita Falls	76301	(940)716-8624	 martha.harrington@txcourts.gov
Court of Appeals	13th Court of Appeals (Corpus Christi)			Nora	L.	Longoria		Justice	901 Leopard, 10th Fl	Corpus Christi	78401	(956)318-2405	
Child Support (Title IV-D)	Title IV-D Court No. 43			David		Longoria		Associate Judge	1115 Congress, 3rd Fl	Houston	77002	(713)755-6856	
